N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.9,82.0,6.5,202.9,rice
85,58,41,21.8,80.3,6.9,226.6,rice
60,55,44,23.0,82.3,6.7,263.9,rice
74,35,40,26.5,80.0,6.7,242.8,rice
78,42,42,22.5,82.0,6.5,270.5,rice
20,55,20,26.0,80.0,6.8,100.0,maize
25,50,18,24.5,70.0,6.5,80.0,maize
30,45,20,27.0,65.0,6.7,90.0,maize
35,48,22,25.5,72.0,6.6,95.0,maize
40,52,25,28.0,68.0,6.8,85.0,maize
40,30,30,22.0,65.0,6.5,70.0,chickpea
35,35,28,20.5,60.0,6.8,65.0,chickpea
45,32,25,24.0,62.0,7.0,75.0,chickpea
50,28,30,23.0,58.0,6.7,68.0,chickpea
38,34,27,21.5,64.0,6.9,72.0,chickpea
70,45,35,25.0,70.0,6.2,120.0,cotton
65,40,38,27.0,75.0,6.4,130.0,cotton
75,50,40,26.5,72.0,6.1,125.0,cotton
80,48,42,28.0,78.0,6.3,140.0,cotton
68,44,36,24.5,69.0,6.5,115.0,cotton
55,25,30,30.0,55.0,6.0,50.0,mango
60,30,35,28.5,60.0,6.2,55.0,mango
50,28,32,31.0,58.0,6.5,48.0,mango
65,32,38,29.0,62.0,6.3,60.0,mango
58,26,34,30.5,57.0,6.1,52.0,mango
20,25,30,18.0,65.0,6.5,55.0,lentil
25,30,28,19.5,62.0,6.7,60.0,lentil
18,28,25,17.5,68.0,6.4,50.0,lentil
30,32,30,20.0,60.0,6.8,65.0,lentil
22,27,26,18.5,66.0,6.6,58.0,lentil
